id,text,date,likes,reposts,views
18,❗️Обратите внимание на изменение режима работы музея с октября  Понедельник — выходной день  Ждём Вас со вторника по воскресенье с 09:00 до 17:00.,2024-10-07 10:38:12,9,1,148
17,"❗️В целях реализации Указа Президента Российской Федерации от 23 января 2024 г. № 63 «О мерах социальной поддержки многодетных семей» в рамках эксперимента в период с 1 октября по 31 декабря 2024 года, проведения апробации использования двухмерного штрихового кода (QR-кода), содержащегося в электронном удостоверении многодетной семьи, для подтверждения статуса многодетной семьи по месту требования в целях получения услуг, льгот и иных преференций многодетным семьям [club226126304|Музей Марциальные воды] предоставляет право бесплатного посещения экспозиций музея в период с 1 октября по 31 декабря 2024 года, начиная с 1 октября 2024 года, при предьявлении штрихового кода (QR-кода), содержащегося в электронном удостоверении многодетной семьи.  Экскурсии, занятия и другие виды мероприятий оплачиваются согласно прейскуранту.",2024-10-04 13:00:33,7,0,137
16,,2024-08-29 22:16:21,16,2,158
15,"🗓22 августа в России отмечается один из официально установленных праздников – день Государственного флага, установленный в 1994 году указом президента РФ.   Сам триколор гораздо старше, берёт он своё начало ещё в петровское время. Так называемый  флаг царя Московского был поднят на 12-пушечной яхте «Святой Петр» во время плавания Петра I в Белом море в 1693 году.   Это событие оставило свой след и в иконостасе церкви апостола Петра. На заднем плане главной храмовой иконы внимательный наблюдатель заметит интересную деталь – развевающийся над деревянной лодкой триколор.",2024-08-22 16:07:04,15,3,211
14,,2024-07-28 21:00:05,8,1,184
13,,2024-07-25 20:42:08,4,0,182
12,"Ровно 76 лет назад, 25 июля 1948 года, Петровский музей в деревне Дворцы открыл свои двери для первых посетителей и посетительниц.   Основанный почти сразу после войны, в марте 1946 года решением СНК Карело-Финской ССР и усилиями народного учителя и краеведа Василия Трошина, Петровский музей разместился в Доме смотрителя. 23 сентября 1946 года территория Первого русского курорта была объявлена заповедником, включившим: Церковь апостола Петра, павильон над Петровским источником, павильон над новым источником и дом Горного ведомства.  Сейчас музей является филиалом Национального музея Республики Карелия и носит название ""Музей истории первого российского курорта ""Марциальные воды"".  Музей работает ежедневно с 9:00 до 17:00. Ждём Вас!",2024-07-25 15:50:35,23,3,761
10,"12 июля, в день первоверховных апостолов Петра и Павла, в посёлке Марциальные Воды прошёл традиционный праздник Петров день.   Порадовали гостей и жителей посёлка выступления музыкальных коллективов с широким репертуаром от частушек до песен о любимом крае. Лично на праздник заглянул и сам Государь Император Петр I.   Не напугали гостей и гуляющие по небу тучи – погода была благосклонна, и дождь обошёл празднующих стороной.  Давайте посмотрим, как это было!",2024-07-15 09:04:51,22,4,2105
9,"День святых апостолов Петра и Павла  День первоверховных апостолов Петра и Павла неизменно празднуется 12 июля, в день перемещения мощей апостолов в 258 году.  ️Однако, в народных преданиях славян праздник серьезно видоизменился, став частью цикла «летних праздников» славянского календаря, наряду с предшествующим ему праздником Ивана Купала (Рождеством Иоанна Предтечи, 7 июля).  🌲 В Заонежье считалось, что короткое карельское лето начинается с Петрова дня, а кончается днем пророка Илии. «Петр лето зачинает, Илья лето кончает». Поэтому праздник Петрова дня – это проводы весны, наступление жарких дней, красного лета. В этот день устраивались хороводы и гуляния, затевались игры, гадали.  Конечно, в Марциальных водах Петров день – это день почитания апостола-мученика Петра, покровителя императора Петра Великого. Поэтому празднество в Петров день начинается с церковной литургии в часовне, после чего продолжается молебном в церкви апостола Петра.  Таким образом, в этот день соединяется церковное и народное представление о Петровом дне.",2024-07-12 09:36:40,20,4,401
8,"В  пятницу, 12 июля, в день первоверховных апостолов Петра и Павла, пройдет традиционный праздник ""Петров день"". Ждём вас в этот прекрасный день!",2024-07-09 15:48:12,6,1,145
7,"22 июня 1941 года является одной их самых трагических дат в истории России – началась Великая Отечественная война.  Ежегодно в строю на фронтах Великой Отечественной войны находилось 10,5–11,5 млн человек, призванных из разных регионов страны. Героями Советского Союза за годы войны стали 11 696 человек – представители разных национальностей единой советской семьи. Героями социалистического труда – 202 человека.    22 июня было объявлено ""Днём памяти и скорби"" указом президента Бориса Ельцина от 8 июня 1996 года. Сейчас каждый желающий может присоединиться к акции на сайте деньпамяти.рф  Пока мы помним о ветеранах, их подвиги живы!  #свечапамяти #свеча_памяти_карелия",2024-06-22 11:42:18,4,0,163
5,"❗️Уважаемые посетители!    Обращаем Ваше внимание, что 11 июня музей истории первого российского курорта ""Марциальные Воды"" работает до 16.00.  12 июня музей работает в стандартном режиме с 09:00 до 17:00",2024-06-11 12:09:13,6,0,179
3,"В посёлке Марциальные воды состоялся традиционный праздник «День родника», организованный сотрудниками музея истории первого российского курорта «Марциальные воды».   📍Мероприятие состоялось на роднике «Vilukaiv» (в переводе с карельского «холодный колодец») – давно известном местным жителям месте, скрытом под навесом сосен.  Силами участников мероприятия была облагорожена территория, прилегающая к роднику: были убраны сухие деревья, бытовой мусор, подметены дорожки и ступеньки, ведущие к роднику, высажены клёны.",2024-06-06 09:19:07,13,3,901
2,,2024-06-03 11:52:10,12,2,173
1,"Добро пожаловать в сообщество музея истории первого российского курорта «Марциальные Воды», филиала Национального музея Республики Карелия!   Здесь будут публиковаться все актуальные новости и анонсы мероприятий, которые будут интересны жителям и гостям республики Карелия.    Приглашаем Вас посетить наш Музей, окунуться в историю петровского времени и своими глазами увидеть Церковь апостола Петра – единственный памятник, сохранившейся со времён первого российского курорта.  Подробнее на сайте: https://kareliamuseum.ru/o-muzee/211/   Запись по тел. (8142) 55-96-55 (доб. 107)",2024-06-03 11:49:25,25,6,433
