topic,relatedness,text,date,group,likes,reposts,views
карельский язык,0.3009,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Ливвиковское наречие карельского языка. Урок 9 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-09-12 18:38:00,,2,1,657
карельский язык,0.3009,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Ливвиковское наречие карельского языка. Урок 7 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-08-28 16:55:34,,2,1,808
карельский язык,0.3008,#karjalankielennedäli #karjalankielennetäli 😉,2022-04-13 20:20:00,,3,0,266
карельский язык,0.3008,#karjalankielennedäli #karjalankielennetäli 😉,2022-04-15 15:00:02,,3,0,169
карельский язык,0.3007,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли  Собственно-карельское наречие. Урок 2 📝  #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-07-17 16:42:59,,10,1,600
карельский язык,0.3005,#karjalankielennedäli #karjalankielennetäli 🎞,2022-04-15 14:47:00,,3,0,168
карельский язык,0.3004,Laatokan Morsian (НЕВЕСТА С ЛАДОГИ),2015-02-17 20:01:56,,1,0,0
карельский язык,0.3004,Laatokan Morsian (НЕВЕСТА С ЛАДОГИ),2015-02-17 20:01:56,,1,0,0
карельский язык,0.3002,....Lemminkäini Sampuo takou....Лемминкяйнен куёт Сампо...😊,2020-09-25 10:49:05,,11,2,298
карельский язык,0.3002,....Lemminkäini Sampuo takou....Лемминкяйнен куёт Сампо...😊,2020-09-25 10:49:05,,11,2,299
карельский язык,0.3002,"Ruadajat zavodittih jo levon katandua - ezmäi pljonkal, sit äski ravval.",2014-04-02 10:02:33,,23,7,0
карельский язык,0.3002,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли  Собственно-карельское наречие. Урок 3 📝  #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-07-26 17:22:58,,8,3,654
карельский язык,0.3001,#karjalankielennedäli #karjalankielennetäli #vepsänkelennedal 🙂,2024-04-24 15:52:00,,1,0,212
карельский язык,0.3001,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Ливвиковское наречие карельского языка. Урок 6 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-08-22 17:06:14,,2,0,704
карельский язык,0.3001,#karjalankielennedäli #karjalankielennetäli #vepsänkelennedal 📝,2023-04-21 19:20:00,,2,0,358
карельский язык,0.2996,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Ливвиковское наречие карельского языка. Урок 5 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-08-06 18:35:00,,7,2,775
карельский язык,0.2996,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Ливвиковское наречие карельского языка. Урок 4 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-07-31 16:40:53,,5,2,623
карельский язык,0.2995,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Собственно-карельское наречие. Урок 6 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-08-24 16:47:00,,6,2,772
карельский язык,0.2994,"🌠 Словами убаюкивания, укачивания в вепсских колыбельных выступает как заимствованное у русских baju-baju, так и собственный вариант: tuti-tuti.   Предлагаем Вашему вниманию ""Колыбельную для Тали"", автор Нина Зайцева, перевод с вепсского В. Агапитова.   #вепсы_Карелия #литература_Карелии",2020-05-18 20:22:12,,29,4,1347
карельский язык,0.2994,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Собственно-карельское наречие. Урок 10 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-09-27 18:46:24,,7,4,735
карельский язык,0.2992,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Собственно-карельское наречие. Урок 4 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-08-02 18:04:00,,8,1,592
карельский язык,0.2991,#karjalankielennedäli #karjalankielennetäli 🤝,2023-04-10 20:03:01,,2,0,240
карельский язык,0.2991,Karjalan kielen kois käydih suomelas-ugrilazen laitoksen opastujat Petroskoilpäi,2016-03-24 17:00:00,,8,0,0
карельский язык,0.2991,Kantele: Martti Pokela - Hiidenkirnu (performed by Katja Nyuppieva),2013-09-20 00:41:24,,2,0,0
карельский язык,0.2991,Kantele: Martti Pokela - Hiidenkirnu (performed by Katja Nyuppieva),2013-09-20 00:41:24,,2,0,0
карельский язык,0.299,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Собственно-карельское наречие. Урок 5 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-08-12 16:12:01,,10,3,816
карельский язык,0.299,"Saimmo 48 stuulua podarkakse, olemmo gruuzimas Petroskoil",2015-12-30 12:13:24,,11,0,0
карельский язык,0.2989,Kielipezän eräs ildu. Ildazen syödyy.,2020-10-21 17:58:26,,11,0,284
карельский язык,0.2989,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Собственно-карельское наречие. Урок 7 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-08-31 16:36:50,,5,2,708
карельский язык,0.2987,Карельская йойга 👵🎶✨ #karjalankielennedäli #karjalankielennetäli,2022-04-15 08:29:00,,4,0,174
карельский язык,0.2987,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли  Ливвиковское наречие карельского языка. Урок 3 📝  #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-07-24 17:41:00,,3,1,565
карельский язык,0.2985,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Ливвиковское наречие карельского языка. Урок 10 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-09-24 19:37:00,,3,3,776
карельский язык,0.2982,Oma kieli — oma mieli / Ičeze kel` — ičeze mel` / Свой язык — свои мысли    Собственно-карельское наречие. Урок 8 📝    #легко_сказать #ФондГрантовГлавы #грантыГлавыКарелия #Ресурсныйязыковойцентркареловвепсовфиннов #карелы #вепсы #карельскийязык #вепсскийязык #союзкарельскогонарода #грантополучатели #новости@fondgrant10 #НКОКарелии,2023-09-08 17:26:00,,5,2,590
карельский язык,0.2977,Fotokovas ollah subotniekan ruadajat (2.12.2012). Suuret passibot kaikile!,2012-12-09 18:58:01,,0,0,0
карельский язык,0.2975,Hyviä karjalan da vepsän kirjukielen päiviä!,2023-04-20 09:54:26,,25,2,729
карельский язык,0.2975,Hyviä karjalan da vepsän kirjukielen päiviä!,2022-04-20 09:30:00,,37,1,1308
карельский язык,0.2974,"Прототип ""Рунопевца"" Коненкова жил в Кинерме: http://gazeta-licey.ru/top/45776-a-posle-rabotyi-nachinali-pet-runyi",2016-05-16 13:47:01,,3,0,0
карельский язык,0.2974,karjalankielennedäli #karjalankielennetäli 🎵🎵🎵,2022-04-15 14:02:00,,3,0,172
карельский язык,0.2973,Tiältä löytyy tietuo vienankarjalaisien suvuista (Здесь информация о родах беломорских карел) http://vuokkiniemi.net/vs/viensuk.htm,2015-03-06 18:47:29,,2,1,0
карельский язык,0.2973,Tiältä löytyy tietuo vienankarjalaisien suvuista (Здесь информация о родах беломорских карел) http://vuokkiniemi.net/vs/viensuk.htm,2015-03-06 18:47:29,,2,1,0
карельский язык,0.2971,#karjalankielennedäli #karjalankielennetäli 📜,2022-04-15 10:27:33,,2,0,167
