topic,relatedness,text,date,group,likes,reposts,views
благоустройство,0.3392,"Открыли движение по новому мосту через реку Кутижма на трассе «Петрозаводск-Суоярви». Подрядчик - «ПСК Строитель» - выполнил основной объем работ досрочно, сейчас приступает к благоустройству и установке освещения.   Напомню, в июле мы завершили реконструкцию [https://vk.com/aparfenchikov?w=wall419407976_643534|моста через Сяпсю]. А сейчас дорожники приступают к замене еще одной переправы - в Чалне. Параллельно идет реконструкция самого проблемного отрезка дороги - с 25 по 33 км. Меняем не только асфальт, но и основание. По сути, это будет полностью новый участок трассы.  За последние годы мы привели в порядок более 90 км этой стратегически важной региональной дороги. Будем заниматься ею и дальше. Она даст импульс не только развитию города Суоярви, но и поселениям Пряжинского и Суоярвского районов.  #ДорогиКарелии",2022-09-24 10:00:03,,384,33,56340
благоустройство,0.3388,"⚒ По дороге в Суоярви проверил ход реконструкции моста через Шую на 115 км трассы.   По сути, строим здесь новый мост взамен старого, прослужившего 60 лет – его демонтировали, сделали временную переправу.   Большой уровень воды в этом году добавил строителям трудностей, но на сроки, по словам подрядчика, это не повлияет. Мост должны сдать уже в августе.   Взяться за эту стройку нам позволил нацпроект «Безопасные качественные дороги». Напомню, что на трассе «Петрозаводск – Суоярви» это будет уже четвертый реконструированный мост. Три из них – через Сяпсю, Кутижму и Чалну – уже открыты.  #Нацпроект #ДорогиКарелии",2024-05-03 15:01:00,,244,10,16412
благоустройство,0.3376,"Сегодня состоялось долгожданное событие - заключен договор на завершение строительства автомобильной дороги Великая Губа – Оятевщина, протяженностью 31,3 км. По результатам аукциона выбран подрядчик - карельская компания «ПСК Строитель», стоимость работ 1 млрд. рублей.   Дорога дойдет практически до прибрежной полосы Онежского озера и окончится разворотной площадкой в прямой зоне видимости Кижского архипелага, на расстоянии всего 1 километра до заповедного острова.    Напомню, строительство дороги началось еще в 2012 году и продолжалось до 2016 года, на выделенные деньги лишь отсыпали и утрамбовали земляное полотно. После этого, ввиду прекращения финансирования, объект был фактически заброшен, и его состояние с каждым годом ухудшалось, недостроенную дорогу размывало.  В этом году по ходатайству Правительства Карелии Федеральное дорожное агентство выделило нам субсидию - 300 млн. рублей на продолжение строительства.  Ввод в эксплуатацию автомобильной дороги позволит обеспечить круглогодичную транспортную доступность острова Кижи.  Срок производства работ установлен до 2023 года, однако рассчитываем, что при совместной успешной работе с федеральным центром, мы сможем построить дорогу уже к концу 2021 года.  #ГлаваКарелии #АртурПарфенчиков #дорогиКарелии #100летиеКарелии",2019-11-11 17:55:43,,275,12,25853
благоустройство,0.337,"👉 Этот мост не похож на остальные. Его особенность – арочная конструкция, которая придаст переправе большую прочность и устойчивость.  Реконструкция моста через реку Верхняя Седокса в Рыпушкалицах выходит на финишную прямую: остались работы по асфальтированию, установке светильников и благоустройству.   🚗 Запустить движение строители обещают в конце июня. Это будет еще +1 мост, который республика реконструировала по нацпроекту «Безопасные качественные дороги».   Обязательно поделюсь итогом! 💯  #Нацпроекты #ДорогиКарелии",2024-05-29 08:31:18,,139,7,12241
благоустройство,0.3365,"Завершили важный этап строительства Майгубского моста – собрали способом «надвижки» пролёты моста между опорами. Об этом мне доложили коллеги из Минтранса.   Готовность объекта сейчас 60%, и впереди следующий этап – обустройство подходов к переправе. Попутно подрядчик ведёт подготовку к бетонированию и асфальтированию проезжей части, монтирует очистные сооружения.   Майгубский мост на дороге «Кола-Надвоицы-Сегежа» - один из двух, которые мы здесь реконструируем (в июле открыли движение по Ондскому). Как я уже говорил, оба моста – крайне важны для развития Сегежского района и его предприятий. Обе переправы строители планируют сдать к ноябрю.   #ДорогиКарелии",2023-08-01 10:52:50,,217,36,26816
благоустройство,0.3365,"На автодороге «Петрозаводск-Суоярви» началась масштабная реконструкция моста через реку Сяпся.   По сути, это будет новый двухполосный железобетонный мост, который строители возводят рядом со старым, признанным аварийным несколько лет назад.   Знаю, что многие жители Карелии ждали начала этих работ, неоднократно писали мне об этом в соцсетях. Приступить к строительству позволила региональная программа ""Развитие транспортной системы"". Общая стоимость новой переправы — 280 миллионов рублей.   Работы ведет наша карельская кампания «ПСК Строитель». Сейчас уже завершен подготовительный этап, расчищена территория и рабочие приступили к возведению опор.  Проехать по новому мосту через Сяпсю можно будет летом 2022 года.  #ДорогиКарелии",2020-07-29 15:00:10,,326,13,44260
благоустройство,0.3359,"Дороги в Карелии постепенно приводим в нормативное состояние. Так, региональная трасса «Подъезд к водопаду Кивач» меняется на глазах. Ремонт дороги идет в рамках нацпроекта «Безопасные и качественные дороги». Стоимость контракта - 73 млн рублей. Работы планируется завершить до 30 сентября 2019 года. Согласно условиям контракта, подрядчик после ремонта будет содержать дорогу три года - до 31 декабря 2022 года.   #ГлаваКарелии #АртурПарфенчиков #Карелия #нацпроекты #БКАД",2019-09-16 11:27:13,,251,8,23706
благоустройство,0.3351,"🚧 Получил видеоотчет с нашей важной дорожной стройки – Майгубского моста в Сегежском районе.    Еще месяц назад здесь была видна арматура, а сегодня строители уже укладывают асфальт. Параллельно идет обустройство откосов и подъездов.    К концу ноября объект обещают сдать. Движение же на мосту планируется открыть в октябре.   #ДорогиКарелии",2023-09-26 09:01:00,,267,62,25046
благоустройство,0.3346,"Проехал по дороге «Медвежьегорск – Толвуя – Великая Губа». Сейчас здесь идёт ремонт второго участка — 37 километров, начиная от деревни Сигово. Напомню, первые 39 км привели в порядок в прошлом году.   Пообщался с рабочими компании «ПСК Строитель». Представитель подрядчика Иван Белязюн доложил, что работы идут в графике. Практически завершён ремонт моста через реку Кумса. К августу планируют сдать весь участок.   А в следующем году полностью завершим ремонт этой дороги, и она встретится с новой трассой на Оятевщину. В итоге через все Заонежье протянется единая асфальтированная транспортная нить.    Местные жители не раз писали мне с просьбой организовать у этой дороги заправочную станцию. Решением этого вопроса сейчас занимаемся вместе с бизнесом. Работаем!   #ДорогиКарелии",2022-05-15 15:00:00,,397,122,54103
благоустройство,0.3346,"Сегодня осмотрел первый реконструированный участок дороги «Олонец-Вяртсиля». Дорога, пролегающая по побережью Ладожского озера, хорошо известна жителям республики и туристами, по ней можно добраться до парка «Рускеала». Семь километров этой дороги в прошлом году по моему предложению были включены в федеральную целевую программу развития республики.   И вот уже первый этап реконструкции выполнен. На участке протяженностью семь километров заменили дорожное полотно, уложили водопропускные трубы, отсыпали и укрепили обочины, сделали откосы, нанесли разметку термопластиком со светоотражающими элементами.   О качестве работ говорят данные дорожной лаборатории, при помощи которой мы проверили, соответствуют ли параметры дороги нормативам. Все сделано по ГОСТам. Показатели продольной ровности соответствуют первой, самой серьезной, категории федеральных масштабов. Хотя у нас дорога четвертой категории, то есть рассчитана на движение до двух тысяч машин в сутки.   Реконструкция этого участка обошлась в 769 миллионов рублей.   Впервые на региональных дорогах появилось ограждение от выхода животных. Раньше оно использовалось только на федеральных трассах.   Работы в рамках Федеральной целевой программы развития республики до 2020 года ведут бригады АО «ВАД».   Ко второму этапу реконструкции автодороги «Олонец-Вяртсиля» приступим уже в этом году, в том числе за счет 300 млн рублей, направленных в Карелию из федерального бюджета.   Понимаю, что для того, чтобы все региональные дороги выглядели так же как этот участок, нужны немалые средства и силы. И сегодня мы уже многое сделали в этом направлении, дороги в нашей республике действительно постепенно преображаются. Постепенно, шаг за шагом, приведем их в порядок.  #дорогиКарелии #ГлаваКарелии #АртурПарфенчиков",2019-10-13 20:00:06,,323,18,32630
благоустройство,0.3344,"🎥 🚧 6,5 месяцев за полминуты в таймлапс-видео   Узнали? Это Лобановский мост на улице Мерецкова в Петрозаводске. К реконструкции мы приступили в марте этого года. Старый, 1966 года постройки, демонтировали, на его месте возводим новый.   Объект сложный, капиталоемкий. Тем не менее, подрядчик - компания ВАД - идёт с опережением графика.   👉 А всего в этом году мы ремонтируем и реконструируем в Карелии 17 мостов. Работы ведём на средства Дорожного фонда республики и нацпроекта ""Безопасные качественные дороги"".   #Нацпроект",2024-10-21 10:08:54,,239,26,15497
